X,Y,fid,stop_name
684010.6137,7465034.5054,252,Estação Estácio
681687.2553,7467119.3175,253,Vieira Bueno
682994.4275,7465672.6153,254,Eduardo Prado
682055.1035,7466395.0016,255,Largo da Cancela
682759.3022,7466167.2041,256,Fonseca Teles
682619.9384,7465944.507,257,Praça Virgilio de Melo Franco
682173.5559,7466347.7215,258,Avenida do Exército :: Linhas sent. Zona Sul
682238.3174,7466417.1566,259,Avenida do Exército :: Linhas sent. Centro
682195.3405,7466367.394,260,Avenida do Exército :: Linhas sent. Tijuca
684025.9457,7464861.5436,261,"BRS 1,2,4: Largo do Estácio"
682912.4657,7466783.3464,262,Benedito Otoni
683605.4033,7464954.3836,263,Joaquim Palhares
682696.5188,7467508.0638,264,Monsenhor Manuel Gomes
682965.3986,7465986.3964,265,Figueira de Melo
683132.5327,7466061.8962,266,Gotemburgo
683494.5881,7466210.8918,267,Francisco Bicalho
683563.7946,7465750.9806,268,Francisco Eugênio
682319.5433,7465437.1287,269,Ponto Final: São Cristovão (Estação São Cristovão) :: Copacabana (via Rebouças)
682387.1826,7465634.5575,270,José Eugênio
682292.5248,7466003.3976,271,Parque
681080.4497,7466463.2065,272,Chantecler
681309.7131,7466389.7956,273,Desembargador Frederico Sussekind
681280.6354,7466412.0736,274,Desembargador Frederico Sussekind
681542.5483,7466434.3992,275,São Luiz Gonzaga
681780.6901,7466578.7225,276,Liberdade
681760.8387,7466719.616,277,Argentina
681925.9987,7466469.4325,278,Chaves Faria
682180.906,7466446.6449,279,Pedro Lobianco
682825.9913,7466666.7749,280,Santos Lima
682756.1548,7466670.0569,281,Escobar
682687.1664,7466904.5786,282,Vinte e Cinco de Março
683068.9132,7466907.708,283,Igrejinha
682678.0057,7465901.6077,284,Praça Virgilio de Melo Franco
682951.412,7466017.5765,285,Figueira de Melo
683155.1862,7465865.5896,286,Estádio Figueira de Melo
683580.9026,7464821.1138,287,Santa Amélia
682497.7664,7465743.1976,288,Almirante Baltazar
683773.6371,7464699.5972,289,"BRS 1,2,4,5,6,I: Sampaio Ferraz"
682917.4803,7466519.6954,290,Zeferino de Oliveira
680240.4555,7467033.6561,291,Hospital Central do Exército
685448.0162,7464617.0852,292,Igreja Nossa Senhora das Neves
686455.6865,7464548.1793,293,Escadinhas de Santa Tereza
682268.6124,7466512.8127,294,Campo de São Cristóvão
686469.2843,7464818.2524,295,Riachuelo
685654.4017,7464130.5512,296,Áurea
685562.8697,7464529.2847,297,Costa Bastos
686191.3577,7464494.9594,298,"Joaquim Murtinho, 769"
686215.5383,7464625.3512,299,"Joaquim Murtinho, 654"
686226.7265,7464617.4602,300,"Joaquim Murtinho, 641"
686347.9115,7464602.341,301,"Joaquim Murtinho, 514"
681912.0557,7465423.2185,302,Praça Professora Alice Brasil
682831.598,7466375.6503,303,São Cristóvão
680795.3057,7466694.3278,304,São Luiz Gonzaga
682260.3235,7465426.9904,305,Estação São Cristóvão :: Norte
680078.0204,7467704.5266,306,Dom Hélder Câmara
680859.1829,7467461.5098,307,Senador Domício Barreto
681065.5029,7467638.4545,308,Praça Padre Souza
681091.6248,7467506.3476,309,Capitão Félix
683478.2033,7466433.0391,310,Terminal Gentileza
682374.5523,7466763.2724,311,Centro de Tradições Nordestinas - Acesso Padre Cícero
681592.7672,7466463.6981,312,São Luiz Gonzaga
682641.9259,7466608.5319,313,Centro de Tradições Nordestinas - Acesso Luiz Gonzaga
681713.5306,7466480.4084,314,Emancipação
683109.2371,7465943.12,315,Pedro II
682935.2765,7466235.5111,316,Hermes Fontes
681431.9764,7465532.6614,317,Escola Municipal Marechal Trompowsky
680439.6279,7466441.8622,318,Hospital Municipal Barata Ribeiro
680334.3458,7467506.5478,319,Aloysio Amancio
679286.6604,7468110.4245,320,Santo Antônio
680481.34,7467399.3575,321,Largo de Benfica
680542.2359,7467128.6194,322,São Luiz Gonzaga
680664.8601,7467086.1751,323,Pereira Lopes
680845.1587,7466890.203,324,Marechal Aguiar
680514.6016,7466962.8236,325,Prefeito Olímpio de Melo
680473.7359,7466977.7097,326,Praça Natividade Saldanha
680463.629,7466904.735,327,Joana Alves
680472.5453,7466706.3846,328,Itapoã
680577.5622,7466581.8633,329,Abdon Milanez
680590.7546,7465814.8663,330,Poteri
680148.9174,7466929.5354,331,Ponto Final: Triagem
680415.9628,7466178.7796,332,GRES Estação Primeira de Mangueira
680510.4884,7465940.8643,333,Agenor de Oliveira
680857.1684,7466753.5032,334,General Gustavo Cordeiro de Farias
680942.1178,7466590.0137,335,Largo do Pedregulho
681076.3321,7466444.9819,336,Chantecler
680867.0003,7466572.086,337,Largo do Pedregulho
686176.5369,7464491.1552,338,"Joaquim Murtinho, 802"
684584.8846,7462556.0252,339,Doutor Júlio Otoni
686148.5514,7464102.3095,340,Santa Cristina
686026.7924,7464004.0221,341,Largo do Guimarães
681067.8158,7465512.6697,342,Residencial Mangueira I e II
685832.6928,7464195.9156,343,Monte Alegre
683758.6287,7461734.586,344,Professor Mauriti Santos
684107.0276,7462259.4022,345,Condomínio Equitativa
684180.2035,7462354.7529,346,Corpo de Bombeiros Santa Teresa
686486.0421,7464538.833,347,Escadinhas de Santa Tereza
681205.8886,7465484.8751,348,Condomínio Mangueira II
684432.2973,7462887.3852,349,Escondidinho
680397.5359,7466319.6533,350,Museu do Samba
685931.6178,7464064.7816,351,Fonseca Guimarães
683841.3982,7462162.6348,352,Dom Joaquim Mamede
684439.4271,7462531.1143,353,Dois Irmãos
684464.1884,7462525.9381,354,Dois Irmãos
686178.8957,7464557.5787,355,"Joaquim Murtinho, 711"
684611.5051,7462585.3812,356,Doutor Júlio Otoni
684814.3554,7462815.0352,357,Morro São Judas Tadeu
684947.6565,7462919.0595,358,Vila Santa Cecília
684849.8892,7462860.1194,359,Casa de Saúde São João de Deus
685226.917,7463305.2633,360,Vista Alegre
685208.603,7463309.2539,361,Vista Alegre
685376.8416,7463417.3866,362,Hospital de Clínicas IV Centenário
685317.0997,7463389.4357,363,"Almirante Alexandrino, 1862"
685269.4997,7463364.4365,364,"Almirante Alexandrino, 1908"
685675.3863,7463668.4479,365,Leopoldo de Fróis
685562.5176,7463583.449,366,"Almirante Alexandrino, 1548"
685640.1976,7463643.4076,367,Arão Reis
685687.4751,7464067.0141,368,CMS Ernani Agricola
685562.1501,7464312.3264,369,Travessa Oriente
685560.6629,7464349.8903,370,Travessa Oriente
685612.3845,7464467.7608,371,"Oriente, 23A"
685532.5452,7464566.2065,372,Costa Bastos
685539.5401,7464717.8535,373,Paula Matos
686243.7683,7464393.9689,374,"Joaquim Murtinho, 964"
685046.4871,7463089.626,375,Largo do França
680075.9051,7467578.7394,376,Leopoldo Bulhões
680801.9336,7465628.6021,377,Estação Mangueira / Jamelão
680060.4273,7467674.8337,378,Dom Hélder Câmara
686937.2802,7464465.9089,379,Praça Paris
680825.8377,7465594.2043,380,Estação Mangueira / Jamelão
680292.6682,7467496.524,381,Aloysio Amancio
680449.4443,7467383.569,382,Francisco Manuel
680853.607,7467295.7824,383,Lopes Trovão
680420.5457,7466991.6353,384,Praça Natividade Saldanha
680546.562,7467370.3365,385,Largo de Benfica
686331.8386,7464297.8538,386,Largo do Curvelo
